company_id,year,roe_difference,roce_difference,category
APOLLOHOSP,Mar 2018,11.96,15.35,Formula Difference
APOLLOHOSP,Mar 2019,7.8100000000000005,11.2,Formula Difference
APOLLOHOSP,Mar 2021,10.83,14.219999999999999,Formula Difference
APOLLOHOSP,Mar 2022,5.889999999999999,2.5,Formula Difference
ASIANPAINT,Mar 2013,2.830000000000002,7.469999999999999,Formula Difference
ASIANPAINT,Mar 2013,2.830000000000002,7.469999999999999,Formula Difference
ASIANPAINT,Mar 2014,0.17999999999999972,10.48,Formula Difference
ASIANPAINT,Mar 2014,0.17999999999999972,10.48,Formula Difference
ASIANPAINT,Mar 2015,1.3599999999999994,11.66,Formula Difference
ASIANPAINT,Mar 2015,1.3599999999999994,11.66,Formula Difference
ASIANPAINT,Mar 2016,3.8200000000000003,14.120000000000001,Formula Difference
ASIANPAINT,Mar 2016,3.8200000000000003,14.120000000000001,Formula Difference
ASIANPAINT,Mar 2017,4.939999999999998,15.239999999999998,Formula Difference
ASIANPAINT,Mar 2017,4.939999999999998,15.239999999999998,Formula Difference
ASIANPAINT,Mar 2018,6.5,16.8,Formula Difference
ASIANPAINT,Mar 2018,6.5,16.8,Formula Difference
ASIANPAINT,Mar 2019,8.14,18.44,Formula Difference
ASIANPAINT,Mar 2019,8.14,18.44,Formula Difference
ASIANPAINT,Mar 2020,4.07,14.370000000000001,Formula Difference
ASIANPAINT,Mar 2020,4.07,14.370000000000001,Formula Difference
ASIANPAINT,Mar 2021,6.41,16.71,Formula Difference
ASIANPAINT,Mar 2021,6.41,16.71,Formula Difference
ASIANPAINT,Mar 2022,9.11,19.41,Formula Difference
ASIANPAINT,Mar 2022,9.11,19.41,Formula Difference
ASIANPAINT,Mar 2023,5.219999999999999,15.52,Formula Difference
ASIANPAINT,Mar 2023,5.219999999999999,15.52,Formula Difference
ASIANPAINT,Mar 2024,1.7699999999999996,12.07,Formula Difference
ASIANPAINT,Mar 2024,1.7699999999999996,12.07,Formula Difference
ATGL,Mar 2018,4.5600000000000005,5.26,Formula Difference
ATGL,Mar 2020,9.14,8.440000000000001,Formula Difference
BAJAJ-AUTO,Mar 2013,12.350000000000001,5.350000000000001,Formula Difference
BAJAJ-AUTO,Mar 2013,12.350000000000001,5.350000000000001,Formula Difference
BAJAJ-AUTO,Mar 2014,6.740000000000002,0.259999999999998,Formula Difference
BAJAJ-AUTO,Mar 2014,6.740000000000002,0.259999999999998,Formula Difference
BAJAJ-AUTO,Mar 2015,0.7699999999999996,6.23,Formula Difference
BAJAJ-AUTO,Mar 2015,0.7699999999999996,6.23,Formula Difference
BAJAJ-AUTO,Mar 2017,3.66,10.66,Formula Difference
BAJAJ-AUTO,Mar 2017,3.66,10.66,Formula Difference
BAJAJ-AUTO,Mar 2018,5.84,12.84,Formula Difference
BAJAJ-AUTO,Mar 2018,5.84,12.84,Formula Difference
BAJAJ-AUTO,Mar 2019,5.289999999999999,12.29,Formula Difference
BAJAJ-AUTO,Mar 2019,5.289999999999999,12.29,Formula Difference
BAJAJ-AUTO,Mar 2020,2.4400000000000013,9.440000000000001,Formula Difference
BAJAJ-AUTO,Mar 2020,2.4400000000000013,9.440000000000001,Formula Difference
BAJAJ-AUTO,Mar 2021,8.690000000000001,15.690000000000001,Formula Difference
BAJAJ-AUTO,Mar 2021,8.690000000000001,15.690000000000001,Formula Difference
