KPI,P10,P25,P50,P75,P90,Mean,Std
net_profit_margin_pct,4.619000000000001,7.244999999999999,14.024999999999999,20.347499999999997,29.244000000000003,19.938804347826085,45.1951343253516
operating_profit_margin_pct,8.0,14.0,22.0,42.0,4102.0,892.6373626373627,8421.07729782371
return_on_equity_pct,8.386,11.610000000000001,15.795,25.927500000000002,47.969000000000015,122.62760869565216,633.7507843658489
debt_to_equity,0.008979999999999997,0.06145,0.43579999999999997,1.644325,6.580330000000001,1.7874097826086959,3.076905780879347
interest_coverage,1.6107,3.17995,11.3613,58.08945,192.2895,126.16768021978022,485.9317114928302
asset_turnover,0.07213,0.20375,0.6705,1.13195,1.6522400000000002,3.4674141304347823,15.764212369583031
free_cash_flow_cr,-14435.1,-1290.0,1123.5,8348.5,20412.2,918.4565217391304,23129.885590673584
earnings_per_share,7.0,16.0,41.5,77.25,183.80000000000018,83.43478260869566,138.80322892243134
book_value_per_share,1.18094,2.81225,10.46725,21.670925,47.46375000000002,16.325360869565213,18.552612807968803
cash_from_operations_cr,-7210.900000000001,1863.75,6023.0,15964.0,35254.60000000004,10199.673913043478,34446.480007128586
